Unnamed: 0,rpm_value,blade_60,blade_45,blade_30,blade_15,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value,alignment_0,alignment_1,alignment_2,fan_mode_no_fan,fan_mode_low_fan,fan_mode_high_fan
2024-11-27 23:01:51.645000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.34,-0.21,9.43,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,-2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:01:52.655000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,0.24,-0.3,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,-2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:01:53.665000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.65,0.08,9.48,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,-2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:01:54.676000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-1.09,0.39,9.39,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,-2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:01:55.675000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.88,0.76,9.5,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,-2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:01:56.695000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.8,-0.07,9.42,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,-2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:01:57.694000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.6,0.36,9.44,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,-2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:01:58.845000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.71,-0.11,9.43,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,-2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:01:59.715000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,0.41,-0.33,9.43,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,-2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:00.725000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,0.17,-0.35,9.37,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,-2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:01.756000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.16,0,9.4,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,-2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:02.745000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.47,-0.17,9.43,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,1.25,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:03.755000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.56,-0.85,9.45,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,1.25,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:04.765000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,0.24,-0.3,9.44,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,1.25,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:05.775000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,0.32,-0.25,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,1.25,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:06.794000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.11,-0.04,9.44,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,1.25,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:07.795000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.18,0.44,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,1.25,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:08.805000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.4,0.25,9.39,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,1.25,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:09.856000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,-0.52,0.32,9.43,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,1.25,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:10.834000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,0.42,-0.32,9.4,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,1.25,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:11.834000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,-0.45,-0.17,9.44,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,1.25,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:12.843000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,-0.62,-0.07,9.45,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,1.25,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:13.855000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,-0.81,-0.1,9.47,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:14.864000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,-0.7,0.25,9.43,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:15.874000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,0.11,0,9.44,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:16.884000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,1.27,-0.71,9.33,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:17.894000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,0.26,0.47,9.4,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:18.904000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,0.32,0.16,9.47,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:19.907000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.33,-0.29,9.43,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:20.924000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.44,-0.35,9.4,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:21.934000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.46,-0.14,9.39,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:22.944000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.07,0,9.42,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:23.954000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.29,-0.19,9.46,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:24.964000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.91,0.32,9.44,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:25.963000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,0.07,-0.17,9.46,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:26.975000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,0.4,-0.1,9.39,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:27.993000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,0.33,-0.17,9.42,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:28.994000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,-0.62,0.42,9.46,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:30.004000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,-0.56,0.03,9.46,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,2.5,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:31.014000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,0.7,-0.45,9.43,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,0,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:32.065000+00:00,36.72859889,0,0,0,1,180,-2,1,21.06,-127,-13,15.688,-0.006,-0.016,0.02,-0.29,-0.39,9.4,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,0,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:33.063000+00:00,36.72859889,0,0,0,1,180,-2,1,22,-127,-13,15.688,-0.006,-0.016,0.02,-0.61,-0.04,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.2475,0,0,180,4.8,4,1016.33,44.3,-11.18,0,1,0,0,0,1
2024-11-27 23:02:09.542000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:09.643000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:12.994000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:13.054000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:13.105000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:16.048000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:16.255000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:16.306000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:16.356000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:19.351000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:19.451000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:19.551000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:23.094000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:23.144000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:23.194000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:23.406000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:27.273000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:27.324000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:27.374000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:27.457000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:31.163000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:31.364000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:31.414000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:31.465000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:31.514000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:31.565000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:31.661000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:31.761000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:31.861000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:32.214000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:32.264000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:32.474000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,0,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:32.525000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:32.575000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:32.626000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:32.678000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:32.725000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:32.774000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:32.863000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:33.214000+00:00,36.72859889,0,0,0,1,135,-2,1,21.05,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:33.264000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:33.464000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:33.514000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:33.564000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:33.614000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:33.715000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:33.764000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
2024-11-27 23:02:33.814000+00:00,36.72859889,0,0,0,1,135,-2,1,22,-75.75,-16,-7.062,-0.004,-0.021,0.007,-0.24,-0.13,9.41,0,0.07,-0.38,-0.24,-0.21,9.8,1.405,1.25,0,225,4.8,5,1016.4,44.3,-11.72,0,1,0,0,0,1
